treat,unit,dat,treatn,rep,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,auc
untreated,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300
untreated,2,14,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300
untreated,3,14,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300
untreated,4,14,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300
DGA,5,14,2,1,7,4,4,3,3,3,2,2,2,1,1,1,1,1,1,720
DGA,6,14,2,2,7,4,3,3,2,2,2,2,1,1,1,1,1,1,1,640
DGA,7,14,2,3,7,4,4,3,3,2,2,2,2,2,1,1,1,1,1,720
DGA,8,14,2,4,6,4,3,3,2,2,2,2,1,1,1,1,1,1,1,620
DGA + Vapor Grip,9,14,3,1,6,4,3,3,2,2,2,1,1,1,1,1,1,1,1,600
DGA + Vapor Grip,10,14,3,2,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,480
DGA + Vapor Grip,11,14,3,3,6,4,3,3,2,2,2,2,1,1,1,1,1,1,1,620
DGA + Vapor Grip,12,14,3,4,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,480
DGA + R_Transorb_R,13,14,4,1,5,3,3,2,2,1,1,1,1,1,1,1,1,1,1,500
DGA + R_Transorb_R,14,14,4,2,6,3,3,2,2,1,1,1,1,1,1,1,1,1,1,520
DGA + R_Transorb_R,15,14,4,3,6,3,3,3,2,2,2,2,1,1,1,1,1,1,1,600
DGA + R_Transorb_R,16,14,4,4,6,4,3,3,2,2,2,1,1,1,1,1,1,1,1,600
DGA + R_Transorb_R + Vapor Grip,17,14,5,1,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,460
DGA + R_Transorb_R + Vapor Grip,18,14,5,2,5,3,3,2,2,1,1,1,1,1,1,1,1,1,1,500
DGA + R_Transorb_R + Vapor Grip,19,14,5,3,5,3,3,2,2,2,1,1,1,1,1,1,1,1,1,480
DGA + R_Transorb_R + Vapor Grip,20,14,5,4,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,540
DGA + R_WG,21,14,6,1,6,3,3,2,2,2,1,1,1,1,1,1,1,1,1,680
DGA + R_WG,22,14,6,2,7,5,4,3,3,2,2,1,1,1,1,1,1,1,1,560
DGA + R_WG,23,14,6,3,6,3,3,2,2,2,2,1,1,1,1,1,1,1,1,560
DGA + R_WG,24,14,6,4,7,4,4,3,3,2,2,2,1,1,1,1,1,1,1,680
DGA + R_WG + Vapor Grip,25,14,7,1,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,480
DGA + R_WG + Vapor Grip,26,14,7,2,5,3,3,2,2,1,1,1,1,1,1,1,1,1,1,500
DGA + R_WG + Vapor Grip,27,14,7,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,420
DGA + R_WG + Vapor Grip,28,14,7,4,6,3,3,3,2,2,2,1,1,1,1,1,1,1,1,580
DGA + R_Original,29,14,8,1,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,440
DGA + R_Original,30,14,8,2,5,3,3,2,2,2,1,1,1,1,1,1,1,1,1,520
DGA + R_Original,31,14,8,3,6,3,3,2,2,2,2,1,1,1,1,1,1,1,1,560
DGA + R_Original,32,14,8,4,6,3,3,2,2,2,1,1,1,1,1,1,1,1,1,540
DGA + R_Original + Vapor Grip,33,14,9,1,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,420
DGA + R_Original + Vapor Grip,34,14,9,2,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,480
DGA + R_Original + Vapor Grip,35,14,9,3,5,3,3,2,2,2,1,1,1,1,1,1,1,1,1,520
DGA + R_Original + Vapor Grip,36,14,9,4,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,480
DGA + R_Transorb,37,14,10,1,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,460
DGA + R_Transorb,38,14,10,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,420
DGA + R_Transorb,39,14,10,3,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,480
DGA + R_Transorb,40,14,10,4,5,3,3,2,2,2,1,1,1,1,1,1,1,1,1,420
DGA + R_Transorb + Vapor Grip,41,14,11,1,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,440
DGA + R_Transorb + Vapor Grip,42,14,11,2,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,440
DGA + R_Transorb + Vapor Grip,43,14,11,3,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,500
DGA + R_Transorb + Vapor Grip,44,14,11,4,5,3,3,2,2,1,1,1,1,1,1,1,1,1,1,500
